site_name,datetime,frequency,network,latitude,longitude,temperature,humidity,pm2_5_calibrated_value,pm10_calibrated_value,site_id,device_name
Salama Road,2026-01-01 00:00:00Z,hourly,airgradient,0.33354,32.56861,20.535,88.405,181.16,197.89,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-01 01:00:00Z,hourly,airgradient,0.33354,32.56861,20.64,89.61,290.98,318.91,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-01 02:00:00Z,hourly,airgradient,0.33354,32.56861,20.82105263,89.61052632,274.59,301.09,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-01 03:00:00Z,hourly,airgradient,0.33354,32.56861,20.605,90.055,242.3,264.05,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-01 04:00:00Z,hourly,airgradient,0.33354,32.56861,20.675,88.715,206.34,225.85,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-01 05:00:00Z,hourly,airgradient,0.33354,32.56861,21.05,86.175,166.05,180.24,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-01 06:00:00Z,hourly,airgradient,0.33354,32.56861,21.885,83.63,183.67,199.21,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-01 07:00:00Z,hourly,airgradient,0.33354,32.56861,24.26,72.895,127.33,137.03,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-01 08:00:00Z,hourly,airgradient,0.33354,32.56861,27.035,61,84.75,90.31,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-01 09:00:00Z,hourly,airgradient,0.33354,32.56861,29.84736842,52.86842105,99.78,105.49,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-01 10:00:00Z,hourly,airgradient,0.33354,32.56861,29.11,56.47,104.01,110.46,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-01 11:00:00Z,hourly,airgradient,0.33354,32.56861,29.63,56.805,112.52,119.58,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-01 12:00:00Z,hourly,airgradient,0.33354,32.56861,28.285,61.115,90.64,96.5,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-01 13:00:00Z,hourly,airgradient,0.33354,32.56861,27.67,58.81,77.37,82.94,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-01 14:00:00Z,hourly,airgradient,0.33354,32.56861,27.14,57.48,72.13,77.98,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-01 15:00:00Z,hourly,airgradient,0.33354,32.56861,25.45789474,61.52631579,87.21,93.63,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-01 16:00:00Z,hourly,airgradient,0.33354,32.56861,24.45,64.705,116.81,126.17,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-01 17:00:00Z,hourly,airgradient,0.33354,32.56861,23.445,71.74,203.83,223.55,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-01 18:00:00Z,hourly,airgradient,0.33354,32.56861,22.77368421,76.36315789,187.62,205.04,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-01 19:00:00Z,hourly,airgradient,0.33354,32.56861,22.28,79.24,158.68,173.16,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-01 20:00:00Z,hourly,airgradient,0.33354,32.56861,21.89,80.48,127.92,138.91,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-01 21:00:00Z,hourly,airgradient,0.33354,32.56861,21.76,79.655,109.5,118.63,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-01 22:00:00Z,hourly,airgradient,0.33354,32.56861,21.435,81.54,96.91,105.72,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-01 23:00:00Z,hourly,airgradient,0.33354,32.56861,21.1,83.195,116.97,127.25,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-02 00:00:00Z,hourly,airgradient,0.33354,32.56861,20.635,85.855,121.55,133.09,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-02 01:00:00Z,hourly,airgradient,0.33354,32.56861,20.33684211,87.27368421,110.11,119.6,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-02 02:00:00Z,hourly,airgradient,0.33354,32.56861,20.235,88.125,103.97,112.77,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-02 03:00:00Z,hourly,airgradient,0.33354,32.56861,20.18,88.72,117.73,127.73,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-02 04:00:00Z,hourly,airgradient,0.33354,32.56861,20.66,87.905,161.24,175.76,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-02 05:00:00Z,hourly,airgradient,0.33354,32.56861,23.395,80.28,169.31,183.56,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-02 06:00:00Z,hourly,airgradient,0.33354,32.56861,25.73,75.97,115.28,123.95,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-02 07:00:00Z,hourly,airgradient,0.33354,32.56861,28.375,69.46,70.95,77.88,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-02 08:00:00Z,hourly,airgradient,0.33354,32.56861,29.07,65.645,65.53,73.78,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-02 09:00:00Z,hourly,airgradient,0.33354,32.56861,30.175,61.83,61.77,72.52,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-02 10:00:00Z,hourly,airgradient,0.33354,32.56861,31.385,58.71,53.89,65.8,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-02 11:00:00Z,hourly,airgradient,0.33354,32.56861,30.37,64.84,52.48,64.78,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-02 12:00:00Z,hourly,airgradient,0.33354,32.56861,28.16842105,72.66315789,55.59,67.52,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-02 13:00:00Z,hourly,airgradient,0.33354,32.56861,28.085,70.175,48.49,60.1,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-02 14:00:00Z,hourly,airgradient,0.33354,32.56861,26.89,74.83,43.92,53.75,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-02 15:00:00Z,hourly,airgradient,0.33354,32.56861,25.825,78.02,44.15,54.36,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-02 16:00:00Z,hourly,airgradient,0.33354,32.56861,24.83,81.36,63.51,73.67,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-02 17:00:00Z,hourly,airgradient,0.33354,32.56861,24.43,82.57,91.02,98.48,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-02 18:00:00Z,hourly,airgradient,0.33354,32.56861,23.86,85.63,125.72,136.76,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-02 19:00:00Z,hourly,airgradient,0.33354,32.56861,23.21052632,88.37894737,128.54,139.63,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-02 20:00:00Z,hourly,airgradient,0.33354,32.56861,22.78947368,88.63684211,122.93,133.69,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-02 21:00:00Z,hourly,airgradient,0.33354,32.56861,22.38095238,89.60952381,106.65,116.97,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-02 22:00:00Z,hourly,airgradient,0.33354,32.56861,22.04210526,90.31052632,68.86,78.34,694140834973ef0013d1a9b0,ag_588c81267534
Salama Road,2026-01-02 23:00:00Z,hourly,airgradient,0.33354,32.56861,21.765,90.89,99.97,112.28,694140834973ef0013d1a9b0,ag_588c81267534
Mbarara Central,2026-01-01 00:00:00Z,hourly,airqo,-0.606767909,30.66638609,0,0,17.18,26.12,,airqo-g5168
Mbarara Central,2026-01-01 01:00:00Z,hourly,airqo,-0.605097,30.669161,0,0,16.45,24.98,,airqo-g5168
Mbarara Central,2026-01-01 02:00:00Z,hourly,airqo,-0.605097,30.669161,0,0,16.34,27.65,,airqo-g5168
Mbarara Central,2026-01-01 06:00:00Z,hourly,airqo,-0.612648,30.662556,0,0,15.99,20.09,,airqo-g5168
Mbarara Central,2026-01-01 07:00:00Z,hourly,airqo,-0.613694667,30.660154,0,0,19.84,28.49,,airqo-g5168
Mbarara Central,2026-01-01 08:00:00Z,hourly,airqo,-0.614218,30.658953,0,0,19.57,27.96,,airqo-g5168
Mbarara Central,2026-01-01 09:00:00Z,hourly,airqo,-0.614895,30.658457,0,0,19.33,27.91,,airqo-g5168
Mbarara Central,2026-01-01 12:00:00Z,hourly,airqo,-0.602448,30.663143,0,0,14.05,12.28,,airqo-g5168
Mbarara Central,2026-01-01 13:00:00Z,hourly,airqo,-0.602448,30.663143,0,0,14.01,13.28,,airqo-g5168
Mbarara Central,2026-01-01 14:00:00Z,hourly,airqo,-0.575942,30.668268,0,0,37.48,49.48,,airqo-g5168
Mbarara Central,2026-01-01 15:00:00Z,hourly,airqo,-0.575942,30.668268,0,0,37.33,48.85,,airqo-g5168
Mbarara Central,2026-01-01 16:00:00Z,hourly,airqo,-0.575942,30.668268,0,0,44.26,52.02,,airqo-g5168
Mbarara Central,2026-01-01 17:00:00Z,hourly,airqo,-0.603528429,26.82883763,0,0,20.54,25.31,,airqo-g5168
Mbarara Central,2026-01-01 18:00:00Z,hourly,airqo,-0.614563,30.658833,0,0,39.17,47.79,,airqo-g5168
Mbarara Central,2026-01-01 19:00:00Z,hourly,airqo,-0.604078,30.662043,0,0,,,,airqo-g5168
Mbarara Central,2026-01-01 20:00:00Z,hourly,airqo,-0.604078,30.662043,0,0,,,,airqo-g5168
Mbarara Central,2026-01-01 21:00:00Z,hourly,airqo,-0.613142,30.65913308,0,0,26.18,36.71,,airqo-g5168
Mbarara Central,2026-01-01 22:00:00Z,hourly,airqo,-0.614584667,30.65880067,0,0,25.46,36.31,,airqo-g5168
Mbarara Central,2026-01-01 23:00:00Z,hourly,airqo,-0.614482,30.658899,0,0,19.54,30.88,,airqo-g5168
Mbarara Central,2026-01-02 00:00:00Z,hourly,airqo,-0.6099586,30.6639588,0,0,17.98,24.7,,airqo-g5168
Mbarara Central,2026-01-02 01:00:00Z,hourly,airqo,-0.606943,30.667332,0,0,16.88,24.39,,airqo-g5168
Mbarara Central,2026-01-02 05:00:00Z,hourly,airqo,0,0,0,0,13.3,14.49,,airqo-g5168
Mbarara Central,2026-01-02 06:00:00Z,hourly,airqo,0,0,0,0,14.13,15.5,,airqo-g5168
Mbarara Central,2026-01-02 07:00:00Z,hourly,airqo,-0.175001429,8.759850571,0,0,19.2,27.13,,airqo-g5168
Mbarara Central,2026-01-02 08:00:00Z,hourly,airqo,-0.6135615,30.659149,0,0,19.47,27.01,,airqo-g5168
Mbarara Central,2026-01-02 09:00:00Z,hourly,airqo,-0.614618,30.658821,0,0,19.8,28.11,,airqo-g5168
Mbarara Central,2026-01-02 10:00:00Z,hourly,airqo,-0.614618,30.658821,0,0,18.82,25.25,,airqo-g5168
Mbarara Central,2026-01-02 11:00:00Z,hourly,airqo,-0.603327,30.659781,0,0,14.56,17.69,,airqo-g5168
Mbarara Central,2026-01-02 12:00:00Z,hourly,airqo,-0.603327,30.659781,0,0,14.26,16.25,,airqo-g5168
Mbarara Central,2026-01-02 13:00:00Z,hourly,airqo,-0.603327,30.659781,0,0,32.88,41.66,,airqo-g5168
Mbarara Central,2026-01-02 14:00:00Z,hourly,airqo,-0.608896,30.6593765,0,0,22.93,33.93,,airqo-g5168
Mbarara Central,2026-01-02 15:00:00Z,hourly,airqo,-0.614465,30.658972,0,0,26.26,35.64,,airqo-g5168
Mbarara Central,2026-01-02 16:00:00Z,hourly,airqo,-0.614465,30.658972,0,0,14.22,9.23,,airqo-g5168
Mbarara Central,2026-01-02 17:00:00Z,hourly,airqo,-0.614465,30.658972,0,0,14.52,9.68,,airqo-g5168
Mbarara Central,2026-01-02 18:00:00Z,hourly,airqo,-0.614465,30.658972,0,0,28.45,38.88,,airqo-g5168
Mbarara Central,2026-01-02 19:00:00Z,hourly,airqo,-0.6142825,30.658952,0,0,16.99,17.39,,airqo-g5168
Mbarara Central,2026-01-02 20:00:00Z,hourly,airqo,-0.6141,30.658932,0,0,20.48,30.86,,airqo-g5168
Mbarara Central,2026-01-02 21:00:00Z,hourly,airqo,-0.614471875,30.658848,0,0,29.72,40.26,,airqo-g5168
Mbarara Central,2026-01-02 22:00:00Z,hourly,airqo,-0.614525,30.658836,0,0,26.9,39.26,,airqo-g5168
Mbarara Central,2026-01-02 23:00:00Z,hourly,airqo,0,0,0,0,20.7,32.02,,airqo-g5168
Mbarara Central,2026-01-03 00:00:00Z,hourly,airqo,0,0,0,0,17.52,22.89,,airqo-g5168
Rakai Health Sciences Program Facility,2026-01-01 07:00:00Z,hourly,airqo,0,0,24.44470588,83.63058824,39.96,47.84,,airqo-g5181
Rakai Health Sciences Program Facility,2026-01-01 08:00:00Z,hourly,airqo,0,0,26.3225,77.195,35.78,45.31,,airqo-g5181
Rakai Health Sciences Program Facility,2026-01-01 09:00:00Z,hourly,airqo,0,0,29.39833333,70.80222222,36.84,46.87,,airqo-g5181
Rakai Health Sciences Program Facility,2026-01-01 12:00:00Z,hourly,airqo,0,0,32.60111111,57.18777778,32.71,47.03,,airqo-g5181
Rakai Health Sciences Program Facility,2026-01-01 13:00:00Z,hourly,airqo,0,0,33.20636364,54.79181818,34.67,47.49,,airqo-g5181
Rakai Health Sciences Program Facility,2026-01-01 14:00:00Z,hourly,airqo,0,0,31.45823529,56.60176471,50.28,49.68,,airqo-g5181
Rakai Health Sciences Program Facility,2026-01-01 15:00:00Z,hourly,airqo,0,0,27.99866667,65.76733333,43.35,52.54,,airqo-g5181
Rakai Health Sciences Program Facility,2026-01-01 16:00:00Z,hourly,airqo,0,0,25.325,73.2675,56.08,71.72,,airqo-g5181
Rakai Health Sciences Program Facility,2026-01-01 17:00:00Z,hourly,airqo,0,0,23.446,78.715,79.05,99.24,,airqo-g5181
Rakai Health Sciences Program Facility,2026-01-02 06:00:00Z,hourly,airqo,0,0,28.5,70.03,49.84,61.87,,airqo-g5181
Rakai Health Sciences Program Facility,2026-01-02 07:00:00Z,hourly,airqo,0,0,33.068,56.306,38.26,48.68,,airqo-g5181
Rakai Health Sciences Program Facility,2026-01-02 08:00:00Z,hourly,airqo,0,0,36.43142857,48.00928571,21.23,30.53,,airqo-g5181
Rakai Health Sciences Program Facility,2026-01-02 09:00:00Z,hourly,airqo,0,0,37.21157895,45.67473684,20.42,31.43,,airqo-g5181
Rakai Health Sciences Program Facility,2026-01-02 10:00:00Z,hourly,airqo,0,0,36.553,46.4835,22.68,33.67,,airqo-g5181
Rakai Health Sciences Program Facility,2026-01-02 11:00:00Z,hourly,airqo,0,0,35.98052632,47.87263158,20.67,30.55,,airqo-g5181
Rakai Health Sciences Program Facility,2026-01-02 12:00:00Z,hourly,airqo,0,0,35.5385,51.181,23.21,34.95,,airqo-g5181
Rakai Health Sciences Program Facility,2026-01-02 13:00:00Z,hourly,airqo,0,0,33.09315789,58.01,17.42,28.21,,airqo-g5181
Rakai Health Sciences Program Facility,2026-01-02 14:00:00Z,hourly,airqo,0,0,30.56181818,64.30454545,15.35,28.26,,airqo-g5181
Rakai Health Sciences Program Facility,2026-01-02 15:00:00Z,hourly,airqo,0,0,27.45933333,74.94866667,25.97,36.58,,airqo-g5181
Rakai Health Sciences Program Facility,2026-01-02 16:00:00Z,hourly,airqo,0,0,25.65642857,81.64142857,38.66,48.72,,airqo-g5181
Rakai Health Sciences Program Facility,2026-01-02 17:00:00Z,hourly,airqo,0,0,24.662,85.204,,,,airqo-g5181
Rakai Health Sciences Program Facility,2026-01-02 18:00:00Z,hourly,airqo,0,0,23.739,88.022,,,,airqo-g5181
Rakai Health Sciences Program Facility,2026-01-02 19:00:00Z,hourly,airqo,0,0,22.737,95.149,,,,airqo-g5181
Rakai Health Sciences Program Facility,2026-01-02 20:00:00Z,hourly,airqo,0,0,22.6525,94.322,,,,airqo-g5181
Rakai Health Sciences Program Facility,2026-01-02 21:00:00Z,hourly,airqo,0,0,22.586,93.368,,,,airqo-g5181
Rakai Health Sciences Program Facility,2026-01-02 22:00:00Z,hourly,airqo,0,0,22.14333333,95.096,,,,airqo-g5181
"Mbarara University, Mbarara",2026-01-01 00:00:00Z,hourly,airqo,0,0,17.32333333,,28.11,46.75,,airqo-g5184
"Mbarara University, Mbarara",2026-01-01 01:00:00Z,hourly,airqo,0,0,16.755,,30.33,47.3,,airqo-g5184
"Mbarara University, Mbarara",2026-01-01 02:00:00Z,hourly,airqo,0,0,16.08,,28.43,47.8,,airqo-g5184
"Mbarara University, Mbarara",2026-01-01 03:00:00Z,hourly,airqo,0,0,15.304,,32.51,50,,airqo-g5184
"Mbarara University, Mbarara",2026-01-01 04:00:00Z,hourly,airqo,0,0,15.76625,,8.18,,,airqo-g5184
"Mbarara University, Mbarara",2026-01-01 05:00:00Z,hourly,airqo,0,0,17.89571429,,46.56,60.16,,airqo-g5184
"Mbarara University, Mbarara",2026-01-01 06:00:00Z,hourly,airqo,0,0,18.73333343,94.61999893,44.67,54.4,,airqo-g5184
"Mbarara University, Mbarara",2026-01-01 07:00:00Z,hourly,airqo,0,0,26.61166667,92.145,88.59,132.34,,airqo-g5184
"Mbarara University, Mbarara",2026-01-01 08:00:00Z,hourly,airqo,0,0,27.81333333,86.65,60.09,77.69,,airqo-g5184
"Mbarara University, Mbarara",2026-01-01 09:00:00Z,hourly,airqo,0,0,28.03,84.945,60.72,75.44,,airqo-g5184
"Mbarara University, Mbarara",2026-01-01 10:00:00Z,hourly,airqo,0,0,32.34285714,68.02714286,36.07,48.82,,airqo-g5184
"Mbarara University, Mbarara",2026-01-01 11:00:00Z,hourly,airqo,0,0,31.56166667,67.8,34.89,46.73,,airqo-g5184
"Mbarara University, Mbarara",2026-01-01 12:00:00Z,hourly,airqo,0,0,29.88,68.81166667,12.05,17.57,,airqo-g5184
"Mbarara University, Mbarara",2026-01-01 13:00:00Z,hourly,airqo,0,0,28.83571429,70.62714286,12.17,19.87,,airqo-g5184
"Mbarara University, Mbarara",2026-01-01 14:00:00Z,hourly,airqo,0,0,26.99333333,76.09333333,17.19,20.87,,airqo-g5184
"Mbarara University, Mbarara",2026-01-01 15:00:00Z,hourly,airqo,0,0,25.68428571,81.40285714,25.38,46.29,,airqo-g5184
"Mbarara University, Mbarara",2026-01-01 16:00:00Z,hourly,airqo,0,0,25.84,81.87,21.94,40.99,,airqo-g5184
"Mbarara University, Mbarara",2026-01-01 17:00:00Z,hourly,airqo,0,0,22.145,91.698,29.71,49.15,,airqo-g5184
"Mbarara University, Mbarara",2026-01-01 18:00:00Z,hourly,airqo,0,0,19.955,,32.19,51.74,,airqo-g5184
"Mbarara University, Mbarara",2026-01-01 19:00:00Z,hourly,airqo,0,0,18.71428571,,34.88,53.94,,airqo-g5184
"Mbarara University, Mbarara",2026-01-01 20:00:00Z,hourly,airqo,0,0,17.61333333,,39.24,55.95,,airqo-g5184
"Mbarara University, Mbarara",2026-01-01 21:00:00Z,hourly,airqo,0,0,18.74,,39.84,56.87,,airqo-g5184
"Mbarara University, Mbarara",2026-01-01 22:00:00Z,hourly,airqo,0,0,16.84833333,,36.11,56.46,,airqo-g5184
"Mbarara University, Mbarara",2026-01-01 23:00:00Z,hourly,airqo,0,0,16.625,,28.45,50.64,,airqo-g5184
"Mbarara University, Mbarara",2026-01-02 00:00:00Z,hourly,airqo,0,0,16.288,,30.3,47.84,,airqo-g5184
"Mbarara University, Mbarara",2026-01-02 01:00:00Z,hourly,airqo,0,0,15.595,,19.44,39.88,,airqo-g5184
"Mbarara University, Mbarara",2026-01-02 02:00:00Z,hourly,airqo,0,0,15.59571429,,18.13,33.78,,airqo-g5184
"Mbarara University, Mbarara",2026-01-02 03:00:00Z,hourly,airqo,0,0,15.77857143,,8.51,,,airqo-g5184
"Mbarara University, Mbarara",2026-01-02 04:00:00Z,hourly,airqo,0,0,17.424,,7.44,,,airqo-g5184
"Mbarara University, Mbarara",2026-01-02 05:00:00Z,hourly,airqo,0,0,24.15,85.01,16.88,31.45,,airqo-g5184
"Mbarara University, Mbarara",2026-01-02 06:00:00Z,hourly,airqo,0,0,26.885,84.31,9.65,10.94,,airqo-g5184
"Mbarara University, Mbarara",2026-01-02 07:00:00Z,hourly,airqo,0,0,32.35,70.45333333,7.35,6.42,,airqo-g5184
"Mbarara University, Mbarara",2026-01-02 08:00:00Z,hourly,airqo,0,0,31.425,68.9,9.2,7.58,,airqo-g5184
"Mbarara University, Mbarara",2026-01-02 09:00:00Z,hourly,airqo,0,0,32.925,66.99166667,7.63,7.53,,airqo-g5184
"Mbarara University, Mbarara",2026-01-02 10:00:00Z,hourly,airqo,0,0,32.51166667,67.54166667,8.72,10.71,,airqo-g5184
"Mbarara University, Mbarara",2026-01-02 11:00:00Z,hourly,airqo,0,0,31.47166667,68.80333333,9.41,10.14,,airqo-g5184
"Mbarara University, Mbarara",2026-01-02 12:00:00Z,hourly,airqo,0,0,34.22857143,64.56142857,8.41,16.56,,airqo-g5184
"Mbarara University, Mbarara",2026-01-02 13:00:00Z,hourly,airqo,0,0,31.48333333,68.49833333,9.26,14.82,,airqo-g5184
"Mbarara University, Mbarara",2026-01-02 14:00:00Z,hourly,airqo,0,0,30.124,70.432,9.39,14.69,,airqo-g5184
"Mbarara University, Mbarara",2026-01-02 15:00:00Z,hourly,airqo,0,0,28.66428571,75.37571429,14.02,22.67,,airqo-g5184
"Mbarara University, Mbarara",2026-01-02 16:00:00Z,hourly,airqo,0,0,27.25375,75.32,28.89,47.84,,airqo-g5184
"Mbarara University, Mbarara",2026-01-02 17:00:00Z,hourly,airqo,0,0,22.068,,31.77,47.86,,airqo-g5184
"Mbarara University, Mbarara",2026-01-02 18:00:00Z,hourly,airqo,0,0,21.52333333,,53.21,69.07,,airqo-g5184
"Mbarara University, Mbarara",2026-01-02 19:00:00Z,hourly,airqo,0,0,20.735,,32.4,52.2,,airqo-g5184
"Mbarara University, Mbarara",2026-01-02 20:00:00Z,hourly,airqo,0,0,20.56142857,,22.55,43.95,,airqo-g5184
"Mbarara University, Mbarara",2026-01-02 21:00:00Z,hourly,airqo,0,0,20.1575,,21.69,41.08,,airqo-g5184
"Mbarara University, Mbarara",2026-01-02 22:00:00Z,hourly,airqo,0,0,18.415,,28.56,49.35,,airqo-g5184
"Mbarara University, Mbarara",2026-01-02 23:00:00Z,hourly,airqo,0,0,17.84,,24.19,47.03,,airqo-g5184
"Mbarara University, Mbarara",2026-01-03 00:00:00Z,hourly,airqo,0,0,16.99666667,,26.74,44.65,,airqo-g5184
Kawanda 2,2026-01-01 06:00:00Z,hourly,airqo,0,0,21.02,,19.61,37.94,,airqo-g5186
Kawanda 2,2026-01-01 07:00:00Z,hourly,airqo,0,0,27.93,85.53,19.85,35.47,,airqo-g5186
Kawanda 2,2026-01-01 08:00:00Z,hourly,airqo,0,0,31.32666667,70.68666667,15.57,25.9,,airqo-g5186
Kawanda 2,2026-01-01 09:00:00Z,hourly,airqo,0,0,28.74,70.91,12.54,18.67,,airqo-g5186
Gulu Main Market,2026-01-01 00:00:00Z,hourly,airqo,0,0,0,0,27.69,36.29,,airqo-g5187
Gulu Main Market,2026-01-01 01:00:00Z,hourly,airqo,0,0,0,0,27.65,34.87,,airqo-g5187
Gulu Main Market,2026-01-01 02:00:00Z,hourly,airqo,0,0,0,0,55.78,75,,airqo-g5187
Gulu Main Market,2026-01-01 03:00:00Z,hourly,airqo,0,0,0,0,118.71,271.43,,airqo-g5187
Gulu Main Market,2026-01-01 05:00:00Z,hourly,airqo,0,0,0,0,8.49,,,airqo-g5187
Gulu Main Market,2026-01-01 06:00:00Z,hourly,airqo,0,0,0,0,8.37,2.09,,airqo-g5187
Gulu Main Market,2026-01-01 07:00:00Z,hourly,airqo,0,0,0,0,8.22,3.79,,airqo-g5187
Gulu Main Market,2026-01-01 08:00:00Z,hourly,airqo,0,0,0,0,8.04,3.96,,airqo-g5187
Gulu Main Market,2026-01-01 09:00:00Z,hourly,airqo,0,0,0,0,8.41,4.7,,airqo-g5187
Gulu Main Market,2026-01-01 10:00:00Z,hourly,airqo,0,0,0,0,8.13,4.66,,airqo-g5187
Gulu Main Market,2026-01-01 11:00:00Z,hourly,airqo,0,0,0,0,8.26,6.15,,airqo-g5187
Gulu Main Market,2026-01-01 12:00:00Z,hourly,airqo,0,0,0,0,17.76,21.96,,airqo-g5187
Gulu Main Market,2026-01-01 13:00:00Z,hourly,airqo,0,0,0,0,9.88,5.86,,airqo-g5187
Gulu Main Market,2026-01-01 14:00:00Z,hourly,airqo,0,0,0,0,16,17.71,,airqo-g5187
Gulu Main Market,2026-01-01 15:00:00Z,hourly,airqo,0,0,0,0,15.22,21.53,,airqo-g5187
Gulu Main Market,2026-01-01 16:00:00Z,hourly,airqo,0,0,0,0,15.38,18.53,,airqo-g5187
Gulu Main Market,2026-01-01 17:00:00Z,hourly,airqo,0,0,0,0,,,,airqo-g5187
Gulu Main Market,2026-01-01 18:00:00Z,hourly,airqo,0,0,0,0,16.87,25.41,,airqo-g5187
Gulu Main Market,2026-01-01 19:00:00Z,hourly,airqo,0,0,0,0,,,,airqo-g5187
Gulu Main Market,2026-01-01 20:00:00Z,hourly,airqo,0,0,0,0,,,,airqo-g5187
Gulu Main Market,2026-01-01 21:00:00Z,hourly,airqo,0,0,0,0,17.6,26.99,,airqo-g5187
Gulu Main Market,2026-01-01 22:00:00Z,hourly,airqo,0,0,0,0,,,,airqo-g5187
Gulu Main Market,2026-01-01 23:00:00Z,hourly,airqo,0,0,0,0,,,,airqo-g5187
Gulu Main Market,2026-01-02 00:00:00Z,hourly,airqo,0,0,0,0,30.3,47.84,,airqo-g5187
Gulu Main Market,2026-01-02 01:00:00Z,hourly,airqo,0,0,0,0,19.44,39.88,,airqo-g5187
Gulu Main Market,2026-01-02 02:00:00Z,hourly,airqo,0,0,0,0,18.13,33.78,,airqo-g5187
Gulu Main Market,2026-01-02 05:00:00Z,hourly,airqo,0,0,0,0,8.08,,,airqo-g5187
Gulu Main Market,2026-01-02 06:00:00Z,hourly,airqo,0,0,0,0,7.92,,,airqo-g5187
Gulu Main Market,2026-01-02 07:00:00Z,hourly,airqo,0,0,0,0,7.98,0.79,,airqo-g5187
Gulu Main Market,2026-01-02 08:00:00Z,hourly,airqo,0,0,0,0,8.02,1.14,,airqo-g5187
Gulu Main Market,2026-01-02 09:00:00Z,hourly,airqo,0,0,0,0,8.09,1.54,,airqo-g5187
Gulu Main Market,2026-01-02 10:00:00Z,hourly,airqo,0,0,0,0,7.99,1.93,,airqo-g5187
Gulu Main Market,2026-01-02 11:00:00Z,hourly,airqo,0,0,0,0,7.79,2.42,,airqo-g5187
Gulu Main Market,2026-01-02 12:00:00Z,hourly,airqo,0,0,0,0,7.49,3.82,,airqo-g5187
Gulu Main Market,2026-01-02 13:00:00Z,hourly,airqo,0,0,0,0,8.1,3.26,,airqo-g5187
Gulu Main Market,2026-01-02 14:00:00Z,hourly,airqo,0,0,0,0,14.87,21.07,,airqo-g5187
Gulu Main Market,2026-01-02 15:00:00Z,hourly,airqo,0,0,0,0,,,,airqo-g5187
Gulu Main Market,2026-01-02 16:00:00Z,hourly,airqo,0,0,0,0,,,,airqo-g5187
Gulu Main Market,2026-01-02 18:00:00Z,hourly,airqo,0,0,0,0,30.49,44.55,,airqo-g5187
Gulu Main Market,2026-01-02 19:00:00Z,hourly,airqo,0,0,0,0,25.24,38.63,,airqo-g5187
